看板,關鍵字,URL,內容,,,,,,,,,,
mood,研究所,/f/mood/p/254969616,花好幾個月準備的研究所考試 幾乎是備到天邊落榜了 唸電類科系是為了媽媽 我們家裡是低收入戶 要是我順利上研究所畢業後 去竹科年薪百萬 可以好好養家養媽媽到老 但是 人生就是這麼不如意 媽媽前陣子剛剛過世了 我為了準備考試 少了許多陪伴她的時間 結果放榜出來成績卻這麼爛 我對不起媽媽 一個人一直哭 在媽媽靈位前懺悔 明明她所剩的時間就不多了 我卻花了絕大多時間去唸書 沒有在家陪伴她走完最後的時光 老天爺… 你為什麼要這樣子 我一直唸書努力就是為了要改善家計 讓媽媽後半輩子可以無憂無慮 但媽媽走了 考試也差不多落榜了 我這個人就是失敗者 人生徹底失敗了 媽媽我這輩子對不起你,,,,,,,,,,
mood,研究所,/f/mood/p/255173807,有人跟我一樣嗎，即使研究所已經擠到很前面的名校。但就是不太敢跟別人提起自己大學是學店 四年來也很痛苦，也不太喜歡系上的人，每天都在想什麼時候畢業，什麼時候研究所考試，我要離開這裡，然後就終於熬到畢業了。  原本以為我放過我自己了，看到大學部的學生都會覺得如果當年我是在這裡讀書有多好。充滿了自信跟快樂。  （抱歉不用花時間回覆我了 這件事還是讓我自己調整,,,,,,,,,,
mood,研究所,/f/mood/p/255212060,"最近研究所差不多放榜完畢了 連透過備取上的也已經差不多了 在此給各位學弟妹建議 在進入教授底下之前 請""務必""打聽好該教授的各種情報 包含 延畢的學長姊的數量 以及 在""研究室""裡面會負責的工作量 還有 必須準備好的心態  以下我從台灣的""一些""有問題的教授的實驗室來說 當中包含我""打聽到""的經歷及我親身經歷的見聞混合著  首先先從要準備的心態 說起吧 說白一點研究所的研究生能否準時畢業是在教授的手上 有些實驗室(有些)讓你做牛做馬 只會給你少少的錢(接近1w可能算多) 尤其對那些從學校直升的學弟妹來說 會負責的事物更多 並且還會包含各種教授言語PUA的問題 若有學長學弟制的實驗室還會加 學長姊的PUA及神奇的""善意""提醒 例如有學長姊會說 ""我10年前做專題生時，沒有碰過有專題生不交進度(作業)的問題"" ""我現在教你是因為你還有救(？)"" ""你現在減少你帶的專題組的目標，那我是否也可以跟教授說我放棄你論文目標"" ""我以前報告要站那邊6個小時(真假？)，你現在只要3個小時，教授對現在的碩生已經很好了""...能夠讓你切實地感受到 「生而為狗，我很幸福」 的感覺 請務必""憨""持優良的心態 面對接下來的挑戰 其次是 在實驗室會負責的工作量 要是因為工作量太多可能會影響到你的研究進度 我曾經聽過有一位""沒畢業""的碩四學長在研究所負責的工作量是(我認為的)三個人的份量的 當我們都聽過996是很不人道的 這位學長是8""10""6 外加 週日對專題生的授課 工作內容包括管理實驗室大小事情、作業及期中期末考題、機台維護及設備分配、採購相關事宜和教授的計畫撰寫等 只有與其他各處室溝通的工作是交給他的同學 就算牠的能力、實驗及報告都還不錯 達到可以畢業標準 但 最後打垮牠的 是教授要他讀博班 才讓牠畢業記住 太能幹不代表能畢業 沒辦法畢業的人 還會被教授當教材拿來教導學弟妹  最後 延畢的學長姊的數量 包含沒有畢業(休學或退學)的多不多 那當然是關係到你會不會準時畢業的問題 正常的教授以及不正常的教授從這點可以很明顯的看出 會不會去刻意把學生牢牢地留下來 如果你進去之前就已經聽到說這間實驗室的休學率很高 那我勸你在進去之前 應該要好好考慮 我們都希望進去是學習、研究及提升自己工作能力 但你也不希望最後沒拿到學歷而浪費這幾年的光陰吧有些教授在抱怨為甚麼自己的研究室的風評那麼差 為什麼一些沒畢業的人在那邊亂說話 我倒是也想問為什麼會搞成這樣？？？ 為什麼一些教授在大學時就積極拉人進研究室呢？ 為什麼一些教授在研究室時積極拉碩士進博士呢？為什麼業界在抱怨大學教得跟業界不相符 現在的學界 大學所教的是否與業界相符 現在的教授心中在乎的是什麼？(計畫？教師評鑑？職位高升？) 老實說我都不太清楚 我相信大多數的教授應該都是正常的 但也不可否認有少數教授努力的把學生壓榨成精華給自己敷臉用  老實說在研究所是否能學到東西 不管是在正常及不正常的教授底下 那當然是一定能學到的東西... 如果你不幸在不正常的教授底下求學 我只能說最好跟隨教授的計畫 穩穩地把論文跟先人的計畫綁在一起過 會比較好喔  我的教授在我離開研究所後進業界曾問我 教授：你看我之前說的這件事情(指PUA)是不是很常發生？ 我： 我現在在外商，不太會發生這種事情。 教授：...。  ---------分隔線--------- 以上圖片皆來自可愛即是正義2.0 FB粉絲頁 資訊則來自我、學長姊、認識之人所分享的真實資訊 還有來自Dcard的一些神奇言論",,,,,,,,,,
mood,研究所,/f/mood/p/255211879,因為一些關係認識到滿多道上兄弟的 發現很多黑道大哥身旁的正宮妻子 都不是所謂的+9妹  可能是因為他們女人看多了 所以覺得漂亮的女生就是那樣 奶大還是會摸膩 再正還是會看膩 甚至打炮打多了 發現感覺很重要  有的娶的女生很胖 100公斤的那種 有的娶的女生也長得很普通 就是路人普妹 但是學歷都是有大學或研究所的那種 很多老婆都是有正當工作的 有當工程師的老婆 有做銀行的老婆 有在醫院工作當物理治療師的老婆  / 『漂亮的女生有啊 錢拿出來就有了』 『想打炮喔 錢花下去不就有了』 『想看一群妹子恭敬歡迎你 你有錢就可以』  『買給女生名牌包是基本 這是門面 吃飯就是要請客啊 這才是男人！』  不得不說我看到的很多黑道大哥都是對女生很好 不會欺負女生 把女生當成寶貝在寵的 而且連對身邊女生朋友都很好的那種 但是對外人就是心狠手辣 (我說的這些黑道大哥不是一般的小嘍囉 很多是維基百科查得到的那種 只是網路上不會對他們的私人生活加以註記什麼的 而且太高層的黑道我也認識不到)  / 『因為你有錢 所以跟著你的妹子都愛錢 跟著你吃香喝辣 那有誰是真心愛你？』 『漂亮的很多 但漂亮的就只剩漂亮了。』 『漂亮的女生把時間花在如何漂亮 因為她們漂亮到不缺乏追求者 但是感情到最後 不是只有漂亮就好』  大概能夠懂他們後來選的女生都不是所謂的瞎妹 有些其實穿著也保守 然後滿清純可愛的  也沒有刺青耳洞什麼的 讓我滿訝異的 談吐的也是有思緒 內容也是有邏輯的 但我其實沒跟他們的老婆深度聊過 所以不太曉得為什麼不找個有正當工作的老公 我說的正當工作是指 不要每天出生入死的那種 畢竟黑道老大的仇人很多 感覺哪天就會被幹掉了 你不殺人 也難保別人不會來殺你  雖然你有很多小弟替你擋 但是總有個萬一  可能因為這些黑道老大有錢吧 但是有錢的男生也很多啊  但或許就是因為愛吧,,,,,,,,,,
mood,研究所,/f/mood/p/255274485,本身性經驗算豐富，目前接近百人斬，這陣子腦海突然浮現關於那些經驗人數以及過程，想想過程挺糟的，但想用匿名的方式把那些不堪給紀錄下來，同時也是嘗試去正視自己之前不想回想的黑歷史。  以下為各階段的經驗人數跟經歷  國中階段：0人 步入青春期階段開始對性產生好奇，時常偷看片或性幻想，國二時和同班男生去廁所嘗試口交過，但始終沒有進行下一步的勇氣，後來與交往的對象們經驗也止步於接吻。  高中：42人 由於唸了校風自由的學校，加上又是住校的緣故，在入學第三週與當時的男友發生關係，但幾週後便以個性不合提了分手（其實只是我沒那麼喜歡對方…. 初體驗過後發現自己很享受性帶來的快感，直接整個放飛自我，和同學、學長、打工認識的朋友各種約，一週最少有四天在和不同的人上床，在學校裡同學們對我的風評也不是很好，但我沒有很在意仍然保持這種生活狀態，直到高三被父母抓到約砲後被迫轉學。 進入離家近的新學校後，我個性從活潑變得自閉，暫時把重心用在課業上，放學後的時間用來補習或是學習才藝，這段日子沒有跟任何人上過床，甚至沒有跟異性有過多交集。  大學：39人 升大學後已經成年，半脫離父母的掌控，在大一初期短暫放縱一小段時間，直到交往新男友才停止，和當時的男友雖然那方面合拍，但他慾望不大，到大二下某次和朋友誤打誤撞去公廁打砲後，發現自己還是很享受這樣的刺激感，於是瞞著男友又是各種約，但與高中不同的是，隨著年齡增長，自身眼光也逐漸變高，開始只找帥、中上的或是身材好的男生約，把學校各系草睡個遍，將那些男生當作戰利品般的存在，過著如此糜爛的生活到大學畢業。  研究所：17人 前期的生活重心在課業上，直到碩二去實習，實習津貼每月2000連吃飯也不夠，剛好當時有一個做八大的朋友想拉我入行，也就是做俗稱的外約妹，由於我的要求比較多（❌老醜胖），遇到的客人都不錯，於是和當時多數人發展成類似包養的固定關係，遇過工廠小開、賭場老闆、開數理補習班的、科技業工程師，其中工程師佔最多，也遇過男生年紀比我小的，雖然錢賺的快、時間也自由，但心裡總是覺得不踏實，最終決定研究所畢業結束所有關係。  出社會後：1人 研究所畢業後生活開始步入正軌，有一份薪水還可以的工作，每天忙於工作的緣故也沒有繼續發展新的關係，直到畢業半年後，因發生一些事，又開始找約，而那個人成為我這輩子唯一想走終生的對象，交往時我坦白了至今為止做的一切，本以為他會離開或是嫌棄，但他都沒有，雖然有些介意但還是願意跟我走下去，我很珍惜這段得來不易的感情，也真正洗心革面，並懂得什麼是愛與責任感。  最後性經驗人數停在了99人，看到這裡或許許多人會覺得我很破很糟糕，但也是有了這些經歷我才意識到自己想要的究竟是什麼，也藉此告誡自己未來不能繼續糜爛度日。雖然憶起時有些感慨，但我不後悔，因為所有的事情，都是因為緣而來，一切的發生，都是必然。,,,,,,,,,,
mood,研究所,/f/mood/p/254991701,我挑另一半很在意學歷 希望另一伴跟我一樣國立中字輩 我還有打算進修四大研究所  結果我去參加聯誼 2/3都是後段私立科大  跟他們聊天發現價值觀相差好多  我下班後都會進修跟工作相關，希望自己能力提升，但對方居然說上班學就好了，幹嘛花下班時間  聊到興趣等議題也發現雞同鴨講，對方見識不廣⋯⋯  整個心好累😔,,,,,,,,,,
mood,研究所,/f/mood/p/255169402,如題，最近妹妹剛考上研究所， 哪間就不說了 雖然比我頭上這間差， 但我不想被當作以學歷在看人。  總之， 有個關係跟我妹比較好的親戚知道他錄取的消息後， 開心到在群組祝賀， 但想想去年我考上政大的時候， 大家怎麼都沒在群組發文， 甚至只有一位親戚私訊恭喜我而已  沒有其他的意思， 只是覺得為什麼之前我考上的時候沒有這樣 甚至我爸在知道我妹放榜的時候， 還特地打電話給我，聽起來很開心， 甚至叫我給她之後讀研的準備資料... （我又不是xx學校的==） 之前跟我爸說考上政大，我爸也沒特別的反應  前陣子剛自己調適好， 但清明節從台北回南部，家人又再提到這件事 才讓我又再想起來，心情真的好差 請問大家這樣要怎麼調適呢？,,,,,,,,,,
mood,研究所,/f/mood/p/255270138,事情是這樣的，我靠自己的努力申請上不錯的學校（國外排名前幾的研究所），高中同學會的時候跟大家聊到這件事，大家反應都是  「哇！看不出妳家這麼有錢耶！以後要靠妳了」 「恭喜欸，我到現在只能到處當家教打工當社畜」 「果然是之前不屑補習班的神人，因為從小就請外師當家教」  「我系排前2%，但我只能直升自己學校（清大）研究所，哭哭因為沒錢去國外唸只能留母校當教授勞工」（連我們高中當時的全班第一名都在挖苦我= =）   一旁的老師不只沒有幫我說話，而是幫忙附和「妳的學歷是妳父母努力賺錢來幫助妳擁有今天，要好好珍惜」  旁邊的同學又再度起哄，還有說什麼用錢堆出來的有錢真好什麼的  雖然知道同學們從以前講話都很愛開玩笑，但聽了還是很不爽，我明明是靠自己努力才有今天，憑什麼說是用錢堆出來的，你們自己不努力怪誰？  對！我在小時候爸媽都會花錢請名師來家裡幫我上課，我也不需要打工賺錢，我爸媽有錢讓我可以去上語言學校，但考上學校的人是我自己啊，又不是我爸媽幫我考  只能說窮人的思維真討厭，我能有今天就是因為夠努力加上腦袋比你們好，今天才能超越你們，你們最多也只能做到台大，自己不努力怪誰啊，難怪只能留在鬼島,,,,,,,,,,
mood,研究所,/f/mood/p/254804793,想問有沒有人跟我一樣開始吃抗憂鬱藥物以後每天都很想睡覺、沒有動力去做事情 到底是我太懶還是真的是藥物副作用  剛開始覺得沒什麼差 但到後來要背考研究所的時候發現影響好大😢 想請問大家的想法  目前吃藥吃半年了 吃藥好痛苦 不吃更痛苦,,,,,,,,,,
mood,研究所,/f/mood/p/255145072,我目前是讀理工科系的三年級，我知道很多人都會說理工科系不讀研究所薪水會差很多，不過最近對於學校課業上越來越感到枯燥乏味，而且因為自己本身蠻多心理狀況的，所以連現在這樣子的學校生活都有點難以應付，常常覺得憂鬱焦慮而且感到空虛。不敢想像以後如果研究所生活更辛苦，或是畢業後從事像科技業那樣的高壓產業到底撐不撐得下去  但是我讀的科系不進科技業我也不知道能夠做什麼，看到身邊的人都很有目標，努力向前的樣子我就覺得自己怎麼這麼沒用。常常覺得是不是要努力克服自己的心理狀況，即使過的很痛苦也要繼續認真考上好的研究所，找一份高薪的工作，才不愧對之前的努力。但有時候又覺得為甚麼要這麼為難自己，其實本身物慾也不算高，找一份薪水還過的去的工作，或是考公務員這類比較穩定又工時固定的工作可能比較適合自己… 總之最近對之後的規劃感到很迷茫，不想努力了也不想再那麼認真地念書，但又怕之後的自己會後悔,,,,,,,,,,
